Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Protein existence
C0HJI5	reviewed	INS1_THUOR	Insulin-1 [Cleaved into: Insulin-1 B chain; Insulin-1 A chain]		Thunnus orientalis (North Pacific bluefin tuna) (Thunnus thynnus orientalis)	50	Evidence at protein level
C0HJI6	reviewed	INS2_THUOR	Insulin-2 [Cleaved into: Insulin-2 B chain; Insulin-2 A chain]		Thunnus orientalis (North Pacific bluefin tuna) (Thunnus thynnus orientalis)	51	Evidence at protein level
C0HJI7	reviewed	INS1_HUSDA	Insulin-1 [Cleaved into: Insulin-1 B chain; Insulin-1 A chain]		Huso dauricus (Kaluga sturgeon) (Acipenser dauricus)	58	Evidence at protein level
C0HJI8	reviewed	INS2_HUSDA	Insulin-2 [Cleaved into: Insulin-2 B chain; Insulin-2 A chain]		Huso dauricus (Kaluga sturgeon) (Acipenser dauricus)	52	Evidence at protein level
C0HJJ2	reviewed	GLUC4_HUSDA	Glucagon-4 (Glucagon-IV)		Huso dauricus (Kaluga sturgeon) (Acipenser dauricus)	31	Evidence at protein level
C0HJJ3	reviewed	GLUC1_HUSDA	Glucagon-1 (Glucagon-I)		Huso dauricus (Kaluga sturgeon) (Acipenser dauricus)	37	Evidence at protein level
C0HJJ4	reviewed	GLUC2_HUSDA	Glucagon-2 (Glucagon-II)		Huso dauricus (Kaluga sturgeon) (Acipenser dauricus)	36	Evidence at protein level
C0HJJ5	reviewed	GLUC3_HUSDA	Glucagon-3 (Glucagon-III)		Huso dauricus (Kaluga sturgeon) (Acipenser dauricus)	31	Evidence at protein level
C0HJJ6	reviewed	GLUC5_HUSDA	Glucagon-5 (Glucagon-V)		Huso dauricus (Kaluga sturgeon) (Acipenser dauricus)	31	Evidence at protein level
C0HJT9	reviewed	INS_SERQU	Insulin [Cleaved into: Insulin B chain; Insulin A chain]	ins	Seriola quinqueradiata (Five-ray yellowtail)	51	Evidence at protein level
C0HJU0	reviewed	INS_PLATA	Insulin [Cleaved into: Insulin B chain; Insulin A chain]	ins	Platax teira (Longfin batfish)	51	Evidence at protein level
C0HM84	reviewed	CO1AA_EPIMA	Collagen, type I, alpha 1a (col1a1a) (Alpha-1 type I collagen)		Epinephelus marginatus (Dusky grouper)	1074	Evidence at protein level
C0HM85	reviewed	CO1A2_EPIMA	Collagen alpha-2(I) chain (col1a2) (Alpha-2 type I collagen)		Epinephelus marginatus (Dusky grouper)	1127	Evidence at protein level
C0HM86	reviewed	CO1AB_EPIMA	Collagen, type I, alpha 1b (col1a1b) (Alpha-1 type I collagen)		Epinephelus marginatus (Dusky grouper)	1010	Evidence at protein level
C0HM87	reviewed	CO1AA_EPICS	Collagen, type I, alpha 1a (col1a1a) (Alpha-1 type I collagen)		Epinephelus costae (Goldblotch grouper) (Serranus costae)	1018	Evidence at protein level
C0HM88	reviewed	CO1A2_EPICS	Collagen alpha-2(I) chain (col1a2) (Alpha-2 type I collagen)		Epinephelus costae (Goldblotch grouper) (Serranus costae)	1087	Evidence at protein level
C0HM90	reviewed	CO1AA_EPIAE	Collagen, type I, alpha 1a (col1a1a) (Alpha-1 type I collagen)		Epinephelus aeneus (White grouper) (Serranus aeneus)	1008	Evidence at protein level
C0HM91	reviewed	CO1A2_EPIAE	Collagen alpha-2(I) chain (col1a2) (Alpha-2 type I collagen)		Epinephelus aeneus (White grouper) (Serranus aeneus)	1073	Evidence at protein level
C0HM92	reviewed	CO1AB_EPIAE	Collagen, type I, alpha 1b (col1a1b) (Alpha-1 type I collagen)		Epinephelus aeneus (White grouper) (Serranus aeneus)	1029	Evidence at protein level
C0HM93	reviewed	CO1AA_EPICA	Collagen, type I, alpha 1a (col1a1a) (Alpha-1 type I collagen)		Epinephelus caninus (Dogtooth grouper) (Serranus caninus)	1095	Evidence at protein level
C0HM94	reviewed	CO1A2_EPICA	Collagen alpha-2(I) chain (col1a2) (Alpha-2 type I collagen)		Epinephelus caninus (Dogtooth grouper) (Serranus caninus)	1100	Evidence at protein level
C0HM95	reviewed	CO1AB_EPICA	Collagen, type I, alpha 1b (col1a1b) (Alpha-1 type I collagen)		Epinephelus caninus (Dogtooth grouper) (Serranus caninus)	1059	Evidence at protein level
C1BGZ8	reviewed	UB4AA_ONCMY	Ubiquitin-like protein 4A-A	ubl4aa	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	154	Evidence at transcript level
C1BHN7	reviewed	UB4AB_ONCMY	Ubiquitin-like protein 4A-B	ubl4ab	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	151	Evidence at transcript level
C1BJQ3	reviewed	RM36_OSMMO	Large ribosomal subunit protein bL36m (39S ribosomal protein L36, mitochondrial) (L36mt) (MRP-L36)	mrpl36	Osmerus mordax (Rainbow smelt) (Atherina mordax)	120	Evidence at transcript level
C1BKD1	reviewed	UFC1_OSMMO	Ubiquitin-fold modifier-conjugating enzyme 1 (Ufm1-conjugating enzyme 1)	ufc1	Osmerus mordax (Rainbow smelt) (Atherina mordax)	167	Evidence at transcript level
C1BKZ7	reviewed	S52A3_OSMMO	Solute carrier family 52, riboflavin transporter, member 3 (Riboflavin transporter 2) (RFT2)	slc52a3 rft2	Osmerus mordax (Rainbow smelt) (Atherina mordax)	410	Evidence at transcript level
C1BXU5	reviewed	UBL4A_ESOLU	Ubiquitin-like protein 4A	ubl4a	Esox lucius (Northern pike)	154	Evidence at transcript level
C1BZU2	reviewed	UFC1_ESOLU	Ubiquitin-fold modifier-conjugating enzyme 1 (Ufm1-conjugating enzyme 1)	ufc1	Esox lucius (Northern pike)	167	Evidence at transcript level
C3KHF2	reviewed	UBL4A_ANOFI	Ubiquitin-like protein 4A	ubl4a	Anoplopoma fimbria (Sablefish)	156	Evidence at transcript level
C3KJF2	reviewed	SWI5_ANOFI	DNA repair protein SWI5 homolog (Protein SAE3 homolog)	swi5 sae3	Anoplopoma fimbria (Sablefish)	136	Evidence at transcript level
E7F555	reviewed	IFT43_DANRE	Intraflagellar transport protein 43 homolog	ift43	Danio rerio (Zebrafish) (Brachydanio rerio)	208	Inferred from homology
E7F888	reviewed	ARI5B_DANRE	AT-rich interactive domain-containing protein 5B (ARID domain-containing protein 5B)	arid5b	Danio rerio (Zebrafish) (Brachydanio rerio)	1044	Inferred from homology
E7FBU4	reviewed	MMS19_DANRE	MMS19 nucleotide excision repair protein homolog (MMS19-like protein)	mms19	Danio rerio (Zebrafish) (Brachydanio rerio)	1043	Inferred from homology
E7FGT5	reviewed	FOCAD_DANRE	Focadhesin	focad	Danio rerio (Zebrafish) (Brachydanio rerio)	1806	Inferred from homology
E9QJ05	reviewed	PT117_DANRE	Protein PET117 homolog, mitochondrial	pet117 si:dkeyp-20e4.6	Danio rerio (Zebrafish) (Brachydanio rerio)	80	Inferred from homology
F1QB81	reviewed	SLF2_DANRE	SMC5-SMC6 complex localization factor protein 2	slf2	Danio rerio (Zebrafish) (Brachydanio rerio)	1129	Inferred from homology
F1QCN0	reviewed	GAL3A_DANRE	Glutamine amidotransferase-like class 1 domain-containing protein 3, mitochondrial	gatd3 gatd3a Zgc:112056	Danio rerio (Zebrafish) (Brachydanio rerio)	262	Inferred from homology
F1QPR4	reviewed	INK1B_DANRE	PAK4-inhibitor inka2 (Induced in neural crest by AP2-alpha protein 2) (zinca2)	fam212ab inka1b	Danio rerio (Zebrafish) (Brachydanio rerio)	288	Evidence at transcript level
F1QUP1	reviewed	RPZ_DANRE	Protein rapunzel	rpz	Danio rerio (Zebrafish) (Brachydanio rerio)	227	Evidence at protein level
F6NSX9	reviewed	Z687B_DANRE	Zinc finger protein 687b	znf687b si:dkey-204a24.9	Danio rerio (Zebrafish) (Brachydanio rerio)	1431	Evidence at transcript level
M1GL27	reviewed	CYSLP_CLABA	Cystatin-like protein (CbCystatin)		Clarias batrachus (Walking catfish) (Silurus batrachus)	165	Evidence at transcript level
O03252	reviewed	NU3M_SALTR	NADH-ubiquinone oxidoreductase chain 3 (EC 7.1.1.2) (NADH dehydrogenase subunit 3)	MT-ND3 MTND3 NADH3 ND3	Salmo trutta (Brown trout)	116	Inferred from homology
O13019	reviewed	RS12_ORENI	Small ribosomal subunit protein eS12 (40S ribosomal protein S12)	rps12	Oreochromis niloticus (Nile tilapia) (Tilapia nilotica)	132	Evidence at transcript level
O13257	reviewed	MT_CHEAU	Metallothionein (MT)	mt	Chelon auratus (Golden grey mullet) (Liza aurata)	60	Inferred from homology
O13269	reviewed	MT1_CYPCA	Metallothionein-1 (MT-1) (Metallothionein-I) (MT-I)	mt1 mt	Cyprinus carpio (Common carp)	60	Inferred from homology
O42179	reviewed	SSRL_TAKRU	Somatostatin-like receptor F_48D10.1	F_48D10.1	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	289	Inferred from homology
O42197	reviewed	B2MG_ICTPU	Beta-2-microglobulin	b2m	Ictalurus punctatus (Channel catfish) (Silurus punctatus)	116	Inferred from homology
O42387	reviewed	RS24_TAKRU	Small ribosomal subunit protein eS24 (40S ribosomal protein S24)	rps24	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	132	Inferred from homology
O42467	reviewed	SNF5_DICFU	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1	smarcb1 snf5	Dichotomyctere fluviatilis (Green pufferfish) (Tetraodon fluviatilis)	373	Inferred from homology
O42493	reviewed	NEUI_TAKRU	Isotocin-neurophysin IT 1 [Cleaved into: Isotocin (IT); Neurophysin IT 1]		Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	155	Inferred from homology
O42494	reviewed	FABPL_TAKRU	Fatty acid-binding protein, liver-type (Fatty acid-binding protein 1) (Liver-type fatty acid-binding protein) (L-FABP)	fabp1	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	125	Inferred from homology
O42503	reviewed	HXC8A_TAKRU	Homeobox protein Hox-C8a (FrHOXC-8)	hoxc8a hoxc8	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	392	Inferred from homology
O42504	reviewed	HXC6A_TAKRU	Homeobox protein Hox-C6a (FrHOXC-6)	hoxc6a hoxc6	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	236	Inferred from homology
O48358	reviewed	NU1M_THYAR	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2) (NADH dehydrogenase subunit 1)	MT-ND1 MTND1 NADH1 ND1	Thymallus arcticus (Arctic grayling) (Salmo arcticus)	324	Inferred from homology
O57312	reviewed	CCKN_PAROL	Cholecystokinin (CCK) [Cleaved into: Cholecystokinin-8 (CCK8)]	cck	Paralichthys olivaceus (Bastard halibut) (Hippoglossus olivaceus)	135	Evidence at transcript level
O57414	reviewed	RHG06_TAKRU	Rho GTPase-activating protein 6 (Rho-type GTPase-activating protein 6) (Rho-type GTPase-activating protein RhoGAPX-1)	arhgap6	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	53	Inferred from homology
O57561	reviewed	RL18A_SALSA	Large ribosomal subunit protein eL20 (60S ribosomal protein L18a)	rpl18a	Salmo salar (Atlantic salmon)	176	Evidence at transcript level
O57593	reviewed	SURF1_TAKRU	Surfeit locus protein 1	surf1 surf-1	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	240	Inferred from homology
O57594	reviewed	SURF6_TAKRU	Surfeit locus protein 6 homolog	surf6	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	359	Inferred from homology
O73672	reviewed	PSA2_CARAU	Proteasome subunit alpha type-2	psma2	Carassius auratus (Goldfish)	234	Evidence at transcript level
O73698	reviewed	PUT2_TAKRU	Putative protein 2 (PUT2)		Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	187	Inferred from homology
O73811	reviewed	GON2_MORSA	Progonadoliberin-2 (Progonadoliberin II) [Cleaved into: Gonadoliberin-2 (Gonadoliberin II) (Gonadotropin-releasing hormone II) (GnRH-II) (Luliberin II) (Luteinizing hormone-releasing hormone II) (LH-RH II); GnRH-associated peptide 2 (GnRH-associated peptide II)]	gnrh2	Morone saxatilis (Striped bass) (Perca saxatilis)	85	Inferred from homology
O73812	reviewed	GON1_MORSA	Progonadoliberin-1 (Progonadoliberin I) [Cleaved into: Gonadoliberin-1 (Gonadoliberin I) (Gonadotropin-releasing hormone I) (GnRH-I) (Luliberin I) (Luteinizing hormone-releasing hormone I) (LH-RH I); GnRH-associated peptide 1 (GnRH-associated peptide I)]	gnrh1	Morone saxatilis (Striped bass) (Perca saxatilis)	95	Inferred from homology
O78679	reviewed	NU1M_CARAU	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2) (NADH dehydrogenase subunit 1)	MT-ND1 MTND1 NADH1 ND1	Carassius auratus (Goldfish)	324	Inferred from homology
O78686	reviewed	NU3M_CARAU	NADH-ubiquinone oxidoreductase chain 3 (EC 7.1.1.2) (NADH dehydrogenase subunit 3)	MT-ND3 MTND3 NADH3 ND3	Carassius auratus (Goldfish)	116	Inferred from homology
O78689	reviewed	NU6M_CARAU	NADH-ubiquinone oxidoreductase chain 6 (EC 7.1.1.2) (NADH dehydrogenase subunit 6)	MT-ND6 MTND6 NADH6 ND6	Carassius auratus (Goldfish)	173	Inferred from homology
O93262	reviewed	SOML_ACITR	Somatolactin (SL)		Acipenser transmontanus (White sturgeon)	232	Evidence at transcript level
O93267	reviewed	TRP3_PSEAM	Trypsinogen-like protein 3	trp3	Pseudopleuronectes americanus (Winter flounder) (Pleuronectes americanus)	256	Evidence at transcript level
O93297	reviewed	CP2K4_ONCMY	Cytochrome P450 2K4 (EC 1.14.14.1) (CYPIIK4)	cyp2k4	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	504	Evidence at transcript level
O93337	reviewed	PRL_SPAAU	Prolactin (PRL)	prl	Sparus aurata (Gilthead sea bream)	212	Evidence at transcript level
O93434	reviewed	RCN1_TAKRU	Reticulocalbin-1	rcn1	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	322	Inferred from homology
O93448	reviewed	UTS1_ONCMY	UI [Cleaved into: Urophysin; Urotensin-1 (Urotensin I)]		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	165	Evidence at transcript level
O93450	reviewed	MTA_PARCR	Metallothionein A (MT-A) (MT-I)	mta mt	Parachaenichthys charcoti (Charcot's dragonfish) (Chaenichthys charcoti)	60	Inferred from homology
O93571	reviewed	MT_ICTPU	Metallothionein (MT)	mt	Ictalurus punctatus (Channel catfish) (Silurus punctatus)	60	Inferred from homology
O93593	reviewed	MTA_CHAAC	Metallothionein A (MT-A)	mta	Chaenocephalus aceratus (Blackfin icefish) (Chaenichthys aceratus)	60	Inferred from homology
O93609	reviewed	MTA_TREBE	Metallothionein A (MT-A) (MT-I)	mta	Trematomus bernacchii (Emerald rockcod) (Pseudotrematomus bernacchii)	60	Inferred from homology
P01145	reviewed	UTS1_CATCO	Urotensin-1 (Urotensin I)		Catostomus commersonii (White sucker) (Cyprinus commersonnii)	41	Evidence at protein level
P01205	reviewed	END2_ONCKE	Beta-endorphin-2 (Beta-endorphin II) [Cleaved into: Met-enkephalin]		Oncorhynchus keta (Chum salmon) (Salmo keta)	30	Evidence at protein level
P01262	reviewed	CALC_ANGJA	Calcitonin		Anguilla japonica (Japanese eel)	32	Evidence at protein level
P02594	reviewed	CALM_ELEEL	Calmodulin (CaM)	calm	Electrophorus electricus (Electric eel) (Gymnotus electricus)	149	Evidence at transcript level
P04093	reviewed	GLUC_ICTPU	Pro-glucagon [Cleaved into: Glucagon; Glucagon-like peptide]	gcg	Ictalurus punctatus (Channel catfish) (Silurus punctatus)	71	Evidence at protein level
P05939	reviewed	PRVB_SQUCE	Parvalbumin beta (Parvalbumin V)		Squalius cephalus (Chub) (Leuciscus cephalus)	106	Evidence at protein level
P07216	reviewed	MT_PLEPL	Metallothionein (MT)	mt	Pleuronectes platessa (European plaice)	60	Evidence at protein level
P07449	reviewed	GLUC1_ONCKI	Glucagon-1 [Cleaved into: Glucagon-1; Glucagon-like peptide 1-1]	gcg	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	68	Evidence at protein level
P08520	reviewed	LEG_ELEEL	Beta-galactoside-binding lectin (14 kDa lectin) (Electrolectin)		Electrophorus electricus (Electric eel) (Gymnotus electricus)	129	Evidence at protein level
P09475	reviewed	PPY_LOPAM	Pancreatic propolypeptide YG (APY) [Cleaved into: Pancreatic polypeptide YG; Carboxy-terminal peptide]		Lophius americanus (American angler) (Anglerfish)	69	Evidence at protein level
P09566	reviewed	GLUC_ATRSP	Pro-glucagon [Cleaved into: Oxyntomodulin (Glucagon-36); Glucagon; Glucagon-like peptide]	gcg	Atractosteus spatula (Alligator gar) (Lepisosteus spatula)	78	Evidence at protein level
P09636	reviewed	HXA7_SALSA	Homeobox protein Hox-A7 (Homeobox protein S12-A)	hoxa7	Salmo salar (Atlantic salmon)	75	Inferred from homology
P09637	reviewed	HXA5_SALSA	Homeobox protein Hox-A5 (S12-B)	hoxa5	Salmo salar (Atlantic salmon)	78	Inferred from homology
P09638	reviewed	HXB2_SALSA	Homeobox protein Hox-B2 (S6)	hoxb2	Salmo salar (Atlantic salmon)	60	Inferred from homology
P09641	reviewed	PYY_MYOSC	Peptide YY-like (PYY)		Myoxocephalus scorpius (Shorthorn sculpin) (Cottus scorpius)	36	Evidence at protein level
P09684	reviewed	VIP_GADMO	Vasoactive intestinal peptide (VIP) (Vasoactive intestinal polypeptide)	vip	Gadus morhua (Atlantic cod)	25	Evidence at protein level
P09688	reviewed	ACHA_ELEEL	Acetylcholine receptor subunit alpha	chrna1	Electrophorus electricus (Electric eel) (Gymnotus electricus)	24	Evidence at protein level
P0C7A6	reviewed	ABT3B_DANRE	Ankyrin repeat- and BTB/POZ domain-containing protein 3-B (BTB/POZ domain-containing protein 11-B)	abtb3b btbd11b si:ch211-170d11.3 si:dkey-264l19.1	Danio rerio (Zebrafish) (Brachydanio rerio)	1012	Predicted
P0C8M4	reviewed	MTURN_DANRE	Maturin (Maturin neural progenitor differentiation regulator protein homolog)	mturn ch211-149a19.1	Danio rerio (Zebrafish) (Brachydanio rerio)	133	Evidence at transcript level
P0C8S0	reviewed	SMAKA_DANRE	Small membrane A-kinase anchor protein (Small membrane AKAP) (smAKAP)		Danio rerio (Zebrafish) (Brachydanio rerio)	89	Inferred from homology
P0C8Y2	reviewed	CR032_DANRE	UPF0729 protein C18orf32 homolog		Danio rerio (Zebrafish) (Brachydanio rerio)	75	Inferred from homology
P0DJ30	reviewed	AJN10_ANGJA	Antimicrobial peptide AJN-10		Anguilla japonica (Japanese eel)	20	Evidence at protein level
P0DP55	reviewed	NPYV_MEIAT	Pro-neuropeptide Y [Cleaved into: Neuropeptide Y (NPY); C-flanking peptide of NPY]		Meiacanthus atrodorsalis (Forktail blenny) (Petroscirtes atrodorsalis)	99	Evidence at transcript level
P10044	reviewed	CRGM2_CYPCA	Gamma-crystallin M2 (Gamma-M2)		Cyprinus carpio (Common carp)	173	Evidence at transcript level
P11629	reviewed	NU3M_ONCMY	NADH-ubiquinone oxidoreductase chain 3 (EC 7.1.1.2) (NADH dehydrogenase subunit 3)	MT-ND3 MTND3 NADH3 ND3	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	116	Inferred from homology
P11706	reviewed	ISK1_ANGAN	Probable pancreatic secretory proteinase inhibitor (PSTI type)		Anguilla anguilla (European freshwater eel) (Muraena anguilla)	61	Evidence at protein level
P12817	reviewed	PRT2A_ONCMY	Protamine-2A		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	32	Evidence at protein level
P12818	reviewed	PRT3A_ONCMY	Protamine-3A		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	32	Evidence at protein level
P15210	reviewed	NEU1_CATCO	Isotocin-neurophysin IT 1 [Cleaved into: Isotocin (IT); Neurophysin IT 1]		Catostomus commersonii (White sucker) (Cyprinus commersonnii)	154	Evidence at transcript level
P15211	reviewed	NEU2_CATCO	Isotocin-neurophysin IT 2 [Cleaved into: Isotocin (IT); Neurophysin IT 2]		Catostomus commersonii (White sucker) (Cyprinus commersonnii)	148	Evidence at transcript level
P15957	reviewed	NU3M_GADMO	NADH-ubiquinone oxidoreductase chain 3 (EC 7.1.1.2) (NADH dehydrogenase subunit 3)	MT-ND3 MTND3 NADH3 ND3	Gadus morhua (Atlantic cod)	116	Inferred from homology
P17668	reviewed	NEU3_CATCO	Vasotocin-neurophysin VT 1 [Cleaved into: Vasotocin (VT); Neurophysin VT 1]		Catostomus commersonii (White sucker) (Cyprinus commersonnii)	152	Evidence at transcript level
P18144	reviewed	ANF_ANGJA	Natriuretic peptides A (Prepronatriodilatin) [Cleaved into: Atrial natriuretic factor (ANF) (Atrial natriuretic peptide) (ANP)]	nppa	Anguilla japonica (Japanese eel)	27	Evidence at protein level
P19180	reviewed	HV03_CARAU	Ig heavy chain V region 3		Carassius auratus (Goldfish)	117	Predicted
P19181	reviewed	HV05_CARAU	Ig heavy chain V region 5A		Carassius auratus (Goldfish)	116	Predicted
P20016	reviewed	DHE2_THUTH	NAD-specific glutamate dehydrogenase (NAD-GDH) (EC 1.4.1.2)		Thunnus thynnus (Atlantic bluefin tuna) (Scomber thynnus)	16	Evidence at protein level
P20140	reviewed	PEP2_THUOR	Pepsin-2 (EC 3.4.23.-)		Thunnus orientalis (North Pacific bluefin tuna) (Thunnus thynnus orientalis)	72	Evidence at protein level
P20677	reviewed	SAMP_PLEPL	Serum amyloid P-component (SAP)		Pleuronectes platessa (European plaice)	20	Evidence at protein level
P20686	reviewed	NU3M_ONCGO	NADH-ubiquinone oxidoreductase chain 3 (EC 7.1.1.2) (NADH dehydrogenase subunit 3)	MT-ND3 MTND3 NADH3 ND3	Oncorhynchus gorbuscha (Pink salmon) (Salmo gorbuscha)	116	Inferred from homology
P20687	reviewed	NU3M_ONCKI	NADH-ubiquinone oxidoreductase chain 3 (EC 7.1.1.2) (NADH dehydrogenase subunit 3)	MT-ND3 MTND3 NADH3 ND3	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	116	Inferred from homology
P20688	reviewed	NU3M_ONCNE	NADH-ubiquinone oxidoreductase chain 3 (EC 7.1.1.2) (NADH dehydrogenase subunit 3)	MT-ND3 MTND3 NADH3 ND3	Oncorhynchus nerka (Sockeye salmon) (Salmo nerka)	116	Inferred from homology
P24558	reviewed	RL18_SALSA	Large ribosomal subunit protein eL18 (60S ribosomal protein L18)	rpl18	Salmo salar (Atlantic salmon)	179	Evidence at transcript level
P24969	reviewed	NU1M_CYPCA	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2) (NADH dehydrogenase subunit 1)	MT-ND1 MTND1 NADH1 ND1	Cyprinus carpio (Common carp)	324	Inferred from homology
P24974	reviewed	NU3M_CYPCA	NADH-ubiquinone oxidoreductase chain 3 (EC 7.1.1.2) (NADH dehydrogenase subunit 3)	MT-ND3 MTND3 NADH3 ND3	Cyprinus carpio (Common carp)	116	Inferred from homology
P24982	reviewed	NU6M_CYPCA	NADH-ubiquinone oxidoreductase chain 6 (EC 7.1.1.2) (NADH dehydrogenase subunit 6)	MT-ND6 MTND6 NADH6 ND6	Cyprinus carpio (Common carp)	172	Inferred from homology
P25128	reviewed	MT_BARBB	Metallothionein (MT)	mt	Barbatula barbatula (Stone loach) (Noemacheilus barbatulus)	60	Inferred from homology
P25707	reviewed	NU3M_ONCTS	NADH-ubiquinone oxidoreductase chain 3 (EC 7.1.1.2) (NADH dehydrogenase subunit 3)	MT-ND3 MTND3 NADH3 ND3	Oncorhynchus tshawytscha (Chinook salmon) (Salmo tshawytscha)	116	Inferred from homology
P26635	reviewed	EGR2_POERE	Early growth response protein 2 (EGR-2) (Zinc finger protein Krox-20)	egr2	Poecilia reticulata (Guppy) (Acanthophacelus reticulatus)	62	Inferred from homology
P28174	reviewed	HXC3A_DANRE	Homeobox protein Hox-C3a (Homeobox protein Zf-114) (Hox-114)	hoxc3a zf114	Danio rerio (Zebrafish) (Brachydanio rerio)	250	Evidence at transcript level
P28498	reviewed	TKNA_GADMO	Substance P		Gadus morhua (Atlantic cod)	11	Evidence at protein level
P28499	reviewed	TKNA_ONCMY	Substance P		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	11	Evidence at protein level
P29205	reviewed	PYY_AMICA	Peptide YY-like (PYY)	pyy	Amia calva (Bowfin)	36	Evidence at protein level
P29235	reviewed	PRL_HYPNO	Prolactin (PRL)	prl	Hypophthalmichthys nobilis (Bighead carp) (Aristichthys nobilis)	210	Evidence at transcript level
P29629	reviewed	PRT_PERFV	Protamine		Perca flavescens (American yellow perch) (Morone flavescens)	34	Evidence at protein level
P30973	reviewed	GON3_ONCMA	Progonadoliberin-3 (Progonadoliberin III) [Cleaved into: Gonadoliberin-3 (Gonadoliberin III) (Gonadotropin-releasing hormone III) (GnRH III) (Luliberin III) (Luteinizing hormone-releasing hormone III) (LH-RH III); GnRH-associated peptide 3 (GnRH-associated peptide III)]	gnrh3	Oncorhynchus masou (Cherry salmon) (Masu salmon)	82	Inferred from homology
P32197	reviewed	ELAS_GADMO	Elastase (EC 3.4.21.-)		Gadus morhua (Atlantic cod)	20	Evidence at protein level
P32759	reviewed	A1AT_CYPCA	Alpha-1-antitrypsin homolog		Cyprinus carpio (Common carp)	372	Evidence at transcript level
P33096	reviewed	PRL_ANGAN	Prolactin (PRL)	prl	Anguilla anguilla (European freshwater eel) (Muraena anguilla)	209	Evidence at transcript level
P33528	reviewed	GLUC_AMICA	Pro-glucagon [Cleaved into: Glucagon; Glucagon-like peptide]	gcg	Amia calva (Bowfin)	75	Evidence at protein level
P34186	reviewed	NU1M_FORLA	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2) (NADH dehydrogenase subunit 1)	MT-ND1 MTND1 NADH1 ND1	Formosania lacustris (Oriental stream loach) (Crossostoma lacustre)	324	Inferred from homology
P34192	reviewed	NU3M_FORLA	NADH-ubiquinone oxidoreductase chain 3 (EC 7.1.1.2) (NADH dehydrogenase subunit 3)	MT-ND3 MTND3 NADH3 ND3	Formosania lacustris (Oriental stream loach) (Crossostoma lacustre)	116	Inferred from homology
P34196	reviewed	NU6M_FORLA	NADH-ubiquinone oxidoreductase chain 6 (EC 7.1.1.2) (NADH dehydrogenase subunit 6)	MT-ND6 MTND6 NADH6 ND6	Formosania lacustris (Oriental stream loach) (Crossostoma lacustre)	173	Inferred from homology
P35395	reviewed	PRL_HYPMO	Prolactin (PRL)	prl	Hypophthalmichthys molitrix (Silver carp) (Leuciscus molitrix)	207	Evidence at transcript level
P38621	reviewed	ZN12_MICSA	Zinc finger protein ZFMSA12A		Micropterus salmoides (Largemouth bass) (Labrus salmoides)	415	Evidence at transcript level
P42931	reviewed	HSP30_ONCTS	Heat shock protein 30 (HSP 30)	hsp30	Oncorhynchus tshawytscha (Chinook salmon) (Salmo tshawytscha)	214	Evidence at transcript level
P45640	reviewed	SOML_CYCLU	Somatolactin (SL)		Cyclopterus lumpus (Lumpsucker)	229	Evidence at transcript level
P45641	reviewed	SOML_HIPHI	Somatolactin (SL)		Hippoglossus hippoglossus (Atlantic halibut) (Pleuronectes hippoglossus)	230	Evidence at transcript level
P47772	reviewed	RS13_ICTPU	Small ribosomal subunit protein uS15 (40S ribosomal protein S13)	rps13	Ictalurus punctatus (Channel catfish) (Silurus punctatus)	151	Evidence at transcript level
P47773	reviewed	HSP7C_ICTPU	Heat shock cognate 71 kDa protein	hsc70	Ictalurus punctatus (Channel catfish) (Silurus punctatus)	649	Evidence at transcript level
